,title,reviews,published_dates,user_name,user_location,user_ratings,trip_details,would_recommed_to_others
10,"""my cabin luggage was taken""","  I have come to boarding and my cabin luggage was taken, ""because the plane is full"". I asked to take it to the cabin, because I have large notebook and  electronics in it, but nothing changes. So, now I am sitting in the plane, holding notebook and several packs from my luggage, and think of how I will stand with all this stuff in my hands in a passport control line in Warsaw. Other people around me have come to the plane with cabin luggage!", 28th January 2024,Mariia Volkovq ,Ukraine,3,"Type Of TravellerBusiness
Seat TypeEconomy Class
RouteLondon to Warsaw
Date FlownJanuary 2024",y
11,“appalling service”," Stinking nappies being changed in business cabin throughout flight to Miami. Four of us from one family were travelling British Airways business. I am a British Airways gold card member. I have been a member of British Airways Executive Club since 1979. We only ever fly British Airways, in first class or business class. It has become a habit to fly BA and we do this because we trust them for safety. We have regular long haul flights booked with British Airways in both first and business into next year. We often fly to the USA. Both my wife and I used to have Virgin Atlantic gold cards however we sadly returned to BA because Virgin did not have a first class seat product. Even so the service from virgin’s gold card department was off the scale, absolutely brilliant and we loved the Virgin lounge at Heathrow. Our flight to Miami with British Airways was on one of their double decker aircraft. These are just too big and I believe contributed to the appalling service. Perhaps familiarity breeds contempt however, whether in business or first, I now view BA aircraft as just being dirty buses in the sky. The food is not much better. However, our flight was distinguished by the smell of poo throughout the journey caused by mothers of babies, changing nappies within the business class cabin, instead of doing it where they should be doing it, in the WC. Try enjoying lunch with a glass of wine with air around permeated by the smell of poo. There must have been three or four babies, having nappies changed regularly in our cabin. I can put up with the screaming because that can’t be helped, but not poo. Cabin crew did nothing about it, despite being asked. I Telephoned BA customer services and ended up speaking to a lady in Manchester BA office who told me that she was BA cabin crew for many years. She told me that changing nappies in the cabin should not be allowed, that it is completely unacceptable and particularly awful while passengers are trying to enjoy a meal. My wife and I are flying first class British Airways again to the USA in April and we also have first class tickets to the USA booked for December. I sent in a complaint to BA customer relations on behalf of all four members of my family who travelled British Airways on December 19 to Miami from LHR and had to put up with the disgusting smells which at times were quite dreadful. I received a response offering a £300 voucher or 30,000 Avios. so, given the cost of four business class flights to Miami from London, British Airways value the loss of enjoyment through travelling in a stinking cabin, at £75 per passenger! Given that I am a gold card holder, an extremely good customer, clearly in the top one percent of all BA customers and a gold cardholder, if that is how they behave with me, God knows how they behave with everybody else. All I can tell you is that flying with Virgin Atlantic when I was a Gold member was highly positive. When our children were young, we used to fly BA first class at times and we would not dream of changing a nappy in the cabin! Not in any cabin! When I complained to British Airways, I asked them if changing of nappies in first class would be allowed during dinner service and they ignored the question. I have numerous business class flights booked with BA over the course of the next 12 months as well as first class flight booked. ", 26th January 2024,M Baker ,United Kingdom,2,"Type Of TravellerFamily Leisure
Seat TypeBusiness Class
RouteLondon Heathrow to Miami
Date FlownDecember 2023",n
12,“Worst service ever”, Worst service ever. Lost baggage because of delayed flight and missed connection and no one is helping to get it back. British Airways website is broken so it doesn’t let me fill missing report and doesn’t give me missing file report number and so no way to contact British Airways because they have dumbest ever AI chatbot., 23rd January 2024,Chirag Thummar ,Germany,1,"Type Of TravellerSolo Leisure
Seat TypeEconomy Class
RouteBoston to Düsseldorf via London
Date FlownJanuary 2024",n
13,"""unprofessional attitude of the pilots"" ","  BA 246 21JAN 2023 Did not appreciate the unprofessional attitude of the pilots. Flight scheduled departure 16:20. Advised boarding time 15:20. Whole flight full of passengers waiting at the gate to board at 15:20. 15:40 the cabin crew board. 15:55 the pilots board - each with a Sao Paulo Airport Duty Free branded shopping bag. 16:20 the flight is still boarding. Finally pushes back just before 17:00, 40 minutes late. Captain came on the intercom to announce the delay was due to 'traffic between the crew hotel and the airport'. Sorry Captain the whole plane saw you and your pilot colleagues board fifteen minutes after the cabin crew clutching your duty free that you and your pilot colleagues still made time to stop for.", 21st January 2024,D Carreno  ,United Kingdom,6,"AircraftA350
Type Of TravellerBusiness
Seat TypeEconomy Class
RouteSao Paulo to London Heathrow
Date FlownJanuary 2024",n
14,“Next time it will be Jet2”," Not a great experience. I could not check in online as two separate parts of the BA computer system do not talk to each other. At LHR a delightful check in clerk sorted it quickly, manually! We boarded on time, but luggage loading had to be halted as the Captain spotted a technical issue and an engineer was called. By the time it was sorted we had missed our slot so took off an hour behind schedule. The flight was uneventful, but the plane had clearly seen better days, legroom was appalling and the handout of a small bottle of water and a soggy cookie made one wish for the days when flying BA meant something special. Next time it will be Jet2.", 18th January 2024,Simon Channon ,United Kingdom,3,"AircraftA320
Type Of TravellerCouple Leisure
Seat TypeEconomy Class
RouteLondon Heathrow to Lisbon
Date FlownJanuary 2024",n
15,“become the Ryanair of long-haul travel”," I was excited to fly BA as I'd not travelled with them long haul for over 25yrs. I've travelled to Australia on many occasions, so I've pretty much travelled with them all. Terrible was my experience. BA have become the Ryanair of long-haul travel, riding on their previous good name and reputation. We were delayed for 5hrs at the terminal, where we were offered one glass of water and then at the last minute our meal - with no additional drinks offered. The charging points were outdated and 3 out of 5 didn't work (family of five travelling). The in flight entertainment was also outdated and the movies available were poor compared to other airlines. The food was atrocious - we flew BA LHR-HongKong and return and Cathay HK-Australia return and the comparison was vast. We were offered pre meal drinks and snacks, drinks with our meal, a menu for our flights so we knew our choices, the quality of the food was vastly better with Cathay. Our luggage was lost for nearly two hours in Hong Kong and when we arrived into London, one of our bags was so badly damaged it was unusable. The only redeeming part was the crew on our return flight were amazing. Severine was an angel and helped make the journey more pleasant for my kids.", 18th January 2024,Melissa Harris ,United Kingdom,2,"Type Of TravellerFamily Leisure
Seat TypeEconomy Class
RouteLondon to Hong Kong 
Date FlownJanuary 2024",n
16,“They never help us”,"  I just want to warn everyone of the worst customer service experience ever! It really looks like British Airways customer service over the phone are trained to not help you in anyway and to create more problems rather than solving them. Last week we called British Airways to make a reservation for the family. At the time we explained to the customer service representative that we wanted to make a booking and then pay with a transfer of miles from American Express. The representative told us that he could not make the reservation until the miles were in the account, and asked us to contact American Express and make the transfer so that the booking could be made. The conversation was recorded by British Airways and could be checked. We immediately called AMEX (within 30 minutes) and solicited the transfer of 500K miles. AMEX clearly stated to us whether we were sure as the transfer was not reversible. We said that it was fine since we had checked previously with British Airways. We then called British Airways immediately to make our reservation to Miami. They confirmed that the miles arrived to our account, but to our surprise they told us that there was no space (not even one seat to Miami) and that we could not use the miles. We explained the situation and how we were led to believe that we could have a flight with miles if we transferred the miles, but all this went on deaf ears. We called the German office, which was absolutely unhelpful, so we also called UK customer service which was just as unhelpful. No manager was able to open a flight for us with miles and they just kept repeating that this was not possible (even though we if we paid for the flight and got the seats and also seats were available if we would have had gold status). In the end British Airways took absolutely no responsibility for causing the problem, did not give us a solution, kept our miles and we have to pay for a trip to Miami. With this service to their customers this is a company that should not be in business. Every time we call they made us wait for over 45 minutes then they answer and put us on hold, I have 2 days of waiting and talking with British Airways for over 2 hours each day, we were on the line for over 45 minutes each time. We were told by the lady agent to hang up the phone as I was too long on the phone and she had other customers? And we are not customers? They never help us.", 17th January 2024,Ivana Squassabia ,Germany,1,"Type Of TravellerFamily Leisure
Seat TypeBusiness Class
RouteDusseldorf (DUS) to Miami (MIA) 
Date FlownJanuary 2024",n
17,“uncomfortable seat and disgusting food”," Paid for business class travelling Cairo to London Heathrow but all I got was an economy seat. Only difference from economy is middle seat was vacant. Couldn't recline, no entertainment for the 5hr+ flight, uncomfortable seat and disgusting food. Put in a formal complaint 3 days ago and had no reply. BA's account on X is hacked. Got approached by scammers after posting there and even after flagging this to BA nothing done about it. Just disgusting. Avoid. ", 16th January 2024,Fady Magdy ,United Kingdom,1,"Type Of TravellerFamily Leisure
Seat TypeBusiness Class
RouteCairo to London Heathrow
Date FlownJanuary 2024",n
18,"""Zero customer service""",  The plane was extremely dirty with chocolate smudged all over mine and my children's seats. I had to wipe down all the seats. After we landed I immediately realized I left my camera with it's bag in the airplane overhead cabin. They would not let me back on the plane for security reasons so I went to The British Airways team on ground & they refused to contact cabin crew only until we threw up a massive fuss then the manager reluctantly agreed which by that point cabin crew had disembarked. Now it's been over 3 weeks with no sign of my camera so it is assumed stolen. I have complained to British Airways and all I get is an automated/generic response to keep checking with Lost Property. Zero customer service for their regular customers and this all could have been mitigated if they had been willing to help at the very beginning - very disappointed., 15th January 2024,A Karsin ,Ireland,1,"Type Of TravellerFamily Leisure
Seat TypeEconomy Class
RouteDublin  to London Heathrow
Date FlownJanuary 2024",n
19,"""baggage arrival nearly took 1.5 hours"" "," Overall journey wasn’t bad however at the end, the baggage arrival nearly took 1.5 hours (more than actual flight time). Baggage of other flights arriving after had been delivered whereas the baggage staff on airport had no clue and information as to why baggage of this flight hasn’t arrived. They raised their hands saying they can’t do anything further. Poor communication and no customer facing skills.", 12th January 2024,Muhammad Yasin ,United Kingdom,4,"Type Of TravellerBusiness
Seat TypeEconomy Class
RouteGlasgow to London
Date FlownJanuary 2024",n
20,"""Overall very satisfied""","  Overall very satisfied. Ground staff member at YVR was extremely helpful & courteous. A350 was only a few months old, so seats were in good order & comfortable by the standards of a modern day Y class seat, although the very small washroom was already starting to look a bit shabby. Cabin crew very friendly & professional, & meal service carried out at reasonable time in the flight. Choice of 2 options for the main meal which was the same for both legs of my journey 1 month apart. Flight departed on time but unfortunately upon landing at LHR we were unable to deplane for quite some time due to a staffing issue at LHR which so not the fault of the airline, and we were given frequent updates on the situation from the flight manager & the flight deck.", 12th January 2024,S Keane ,United Kingdom,9,"AircraftA350-1000
Type Of TravellerSolo Leisure
Seat TypeEconomy Class
RouteVancouver to London
Date FlownJanuary 2024",y
21,"""airline is a total disgrace"" ","  As always when I fly BA it was a total shambles. I was booked Manchester - London - Madrid , BA first leg and Iberia 2nd, I try wherever possible to avoid BA, however the Manchester - London was late, however I ran for my IB flight and got to B gates just as boarding started, being Group 1 I went to board and the gate sounded an alarm, BA had removed me from the IB flight to a BA flight 3 hours later! As BA had reissued the ticket IB could not put me back on the flight, so 3 hours wasted because of BA’s total incompetence. This airline is a total disgrace, the crew were not nice, typical BA crew oh im so fabulous I don't need to be nice to paying passengers, club europe cramped and terrible food! ", 9th January 2024,Neil Jones ,Spain,1,"AircraftA320
Type Of TravellerBusiness
Seat TypeBusiness Class
RouteHeathrow to Madrid
Date FlownOctober 2023",n
22,"""we were pleased with the service""",  First time using BA business class but we were pleased with the service received. No one was waiting at check in/bag drop and through security in 2 minutes. We used the lounge in the b gates area which we found quiet with plenty of food and drink on offer. Boarding was quick and the cabin was on a 1x2x1 layout with 12 seats although there was a larger b/c cabin behind that had about 30 seats. Again food and drinks were plenty full and good quality. Service from the cabin crew was excellent and the cabin manager (Lauren) even made up a birthday card when she found out it was my wife’s special birthday. Departed early and arrived at JFK early as well. The only thing that I disliked was paying £117 each to select our seats and no free wi-fi., 7th January 2024,R Dayle ,United Kingdom,9,"AircraftBoeing 777 -200
Type Of TravellerCouple Leisure
Seat TypeBusiness Class
RouteLondon to New York
Date FlownNovember 2023",y
23,"""Gate agent was extremely rude""","  Extremely rude ground service. We were non-rev flying and London was our connection/layover. Gate agent was extremely rude and forced me to check my carry on suitcase with the explanation that it was “oversized.” However, when I put it in the sizer, it fit perfectly without force. The plane was not fully booked and had lots of room overhead. The gate agent was insistent and rushed us with no regard for the fact that we would have to redo security in order to get our bags again, as we were switching airlines and needed to carry them on due to our non-rev status. The flight itself was good, attendants were polite and helpful. No complains there. Just extremely unhappy with the gate agent service. I understand that it is not a pleasant job and frankly I would not be overjoyed to work there either but that does not explain why we had to be inconvenienced with no fair explanation or attention.", 3rd January 2024,K Higgins ,United States,6,"Type Of TravellerFamily Leisure
Seat TypeEconomy Class
RouteRome to London
Date FlownJanuary 2024",n
24,"""incredibly heartless and incompetent company""","  My son and I flew to Geneva last Sunday for a skiing holiday in Les Arc. The flight was cancelled moments prior to boarding and we were transferred to a flight departing three and a half hours later, that then got delayed by a further three hours. They didn't load any food on to the plane and forgot to load the baggage for all the business class passengers who had been on the earlier flight. Problems happen, it's a complex operation. What is totally unacceptable is the service one receives when there is a problem. The offshore call centres are unhelpful and obstructive, wanting to fob off issues by getting the customer to call special help lines that merely refer one to a webpage and then cut off. The web pages are often unable to give information as they are not updated and often refuse to update your inputs 'at this time. please try again later'. There is no access to people that are willing to help, empowered to help, or actually move a situation forwards in any way. We've been sitting in a hotel waiting for the bag to arrive for two and a half days, unable to ski due to our entire wardrobes being in the cases. The outdated luggage 'tracking system', had the suitacase in Geneva 2 days ago, where it sat with no-one willing to step up and get it delivered. What an incredibly heartless and incompetent company. ", 2nd January 2024,E Gan ,China,1,"Type Of TravellerFamily Leisure
Seat TypeBusiness Class
RouteGatwick to Geneva
Date FlownDecember 2023",n
25,"""their service was hit-and-miss""","  For the price paid (bought during a sale) it was a decent experience although the club class (business class) seats offer no more legroom than economy class (using short-haul fleet on a 4 hour flight). Fast track through security was not honoured. The lounge at Istanbul airport was over-crowded as it is also open to the public who can pay for usage, causing a long queue for entry , which was badly organised. Boarding was smooth, cabin crew were friendly but their service was hit-and-miss. Eg. Some people got a “welcome” and some didn’t; Half of the cabin was automatically offered coffee after dinner but not the other half. However, drinks were replenished generously and regularly and the meal was good (with a choice of three mains from the menu).", 29th December 2023,S Dayle ,United Kingdom,8,"AircraftA320
Type Of TravellerSolo Leisure
Seat TypeBusiness Class
RouteIstanbul to London Heathrow
Date FlownDecember 2023",y
26,""" Worse than a low-cost carrier""","  Flight left on time and arrived over half an hour earlier than scheduled (thanks to strong tail winds). The flight was full but no catering had been loaded for economy passenger at Heathrow so for 3 and a half hours we only had a small bottle of water and a small packet of corn snacks. Nothing at all available to even buy to eat! Worse than a low-cost carrier experience in this sense. One of the light panels overhead the seats towards the back of the plan was broken and loose and just hanging above the unfortunate passenger's head for the whole flight (poor maintenance of cabin). I would choose another airline on this route in the future, as one of their competitors offers full meal service on this route even in the economy cabin.", 29th December 2023,S Neale ,United Kingdom,6,"AircraftA320
Type Of TravellerSolo Leisure
Seat TypeEconomy Class
RouteLondon Heathrow to Istanbul
Date FlownDecember 2023",n
27,"""Very Poor Business class product""","  Very Poor Business class product, BA is not even close to the other airline leaders. Which ever way they sell the seat on a 777 it is a 2-4-2 layout. The cabin feels and is very cramped. The food in business class is economy quality just served in a china dish! However, the price of course is at premier levels. The only positive of the whole fight and return were the cabin crew who were fantastic. I felt genuinely sorry for them having to try and flog such a poor product. Would I fly BA business again? only if their were no other options and I had no choice.", 27th December 2023,Mick Carter ,United Kingdom,2,"AircraftBoeing 777
Type Of TravellerBusiness
Seat TypeBusiness Class
RouteGatwick to St Lucia
Date FlownDecember 2023",n
28,“if GF - take your own food”," This review is for LHR-SYD-LHR. BA015 and BA016. Business class had a 1-2-1 configuration on 777 giving space, privacy and easy aisle access. Seat reclines into comfortable flat bed. Good quality pillow and duvet. Privacy with sliding door. Good storage space around the seat and charging point. Flights on time - no delays. Gluten free meals were very poor in quality and presentation. Warm processed meat between two bland slices of GF bread apparently is a business class breakfast. On two sectors the main course (no choice offered) was bland fish which was served in a single small tray covered with foil - in business class? Condensation had formed as the dish was reheated (probably from chilled) so the offering was sitting in a weak watery liquid. One crew member appeared genuinely apologetic as they meekly served one meal. Do BA also serve the same GF offering in economy, economy plus and first on a long haul flight? My advice if GF - take your own food or dine in the lounge if you are in the care of BA for 24 hours. My travelling companion had very good regular meals, or so they told me, with a choice of main course on the same flights. Crew gave the impression that they were doing a job covering the basics and rather than welcoming and engaging. Usual hospitality industry waffle about service but little of substance delivered.", 27th December 2023,Colin Wicks ,United Kingdom,5,"AircraftBoeing 777
Type Of TravellerCouple Leisure
Seat TypeBusiness Class
RouteSydney to London Heathrow
Date FlownDecember 2023",n
29,“pathetic business class product”," Absolutely pathetic business class product. BA is not even remotely competitive with other International airlines in the business class market. With old outdated 8 across seating - no, I did not make a typing mistake - you either have to climb across someone or someone has to climb across you to gain aisle access. The crew must also hate this layout since they have to reach through little window openings to provide service to passengers in the 2 center seats. BA, like most other European-based airlines does not have a factual Intra-European business class product even though they promote & sell business class. Intra-Europe flights feature the same 3+3 seating throughout the aircraft & the only difference being the middle seat is left empty in ""business class"" & passengers get a meal & drinks, but this does not justify the higher cost. BA's Trans-Atlantic business class product is only slightly better because of the ""narrow"" 8 across seating. The biggest surprise on both the LIS/LHR & LHR/IAH flights was that BA has, in fact, substantially improved their food quality. Shocking! Unfortunately, it is served in the WORST business class configurations of ANY International airline I have flown. The entertainment  system & small screens - my laptop screen is twice the size - is like an airline offering 2 decades ago. The flight crew was ""pleasant & perfunctory"" which is about the best one can expect from a BA crew. BA will simply never match the quality of carriers like Singapore, Emirates, Qatar, Etihad, EVA, ANA, Japan, Air New Zealand, Qantas or many others. BA can compete with US-based airlines like Delta, American & United, which are also not even in the same Universe in terms of a high-quality business class product. One of the biggest slaps in the face is that BA expects business class passengers to pay to select seats, even though they have paid thousands of dollars to fly business class. Several hundred US dollars for Trans-Atlantic flights. Only if you wait until 24 hours before flight time are you allowed to select a seat at no cost. Certainly another BA Management decision that was made without a functioning brain.", 23rd December 2023,7 reviewsV Simpson  ,United States,3,"AircraftBoeing 777
Type Of TravellerBusiness
Seat TypeBusiness Class
RouteLisbon to Houston via London Heathrow
Date FlownNovember 2023",n
30,“Staff look tired and overworked”,"  Overall not bad. Staff look tired and overworked, trying their best. Weird seats, I was in 21G going, and 21D going home. The buttons to press for the seat recline are so stiff I had to get help on both flights to get them to work. There is another button, also very stiff, to bring the “leg rest” out. This is an awkward thing which doesn’t come up far enough to be of any use at all for your legs, but just obstructs your feet really. Again, I had to get help to activate the very stiff buttons. At one point, the lady next to me was pressing the buttons for me while I tried to recline, sit up, or put the “leg rest” back. We gave up and called the flight attendant, who also had trouble. BA: please give this some maintenance! Food: only one out of three menu choices available by the time it got to me in Premium Ec. It was pasta and was not too bad. A Christmas Turkey Dinner was offered, but why not load more if it is so popular that it is not available 10 minutes into the meal service? “Breakfast” was an unidentified soggy pastry thing in a cardboard tube. It was disgusting, same offered on return journey. A cold pastry and fruit would be so much nicer. The tea and coffee was hot at least. Overall, I would say Air Canada provides a much superior Premium Ec service than BA. I won’t choose BA again.", 21st December 2023,1 reviewsS Jackson ,Canada,6,"AircraftA350
Type Of TravellerSolo Leisure
Seat TypePremium Economy
RouteVancouver to London Heathrow 
Date FlownDecember 2023",n
31,“I couldn’t fault them”," This was our first flight with British Airways in over 13 years and as usual I couldn’t fault them. As we were connecting, we had little interaction with ground staff - staff in the lounge were friendly and helpful. Cabin crew on the flight were great - very welcoming and friendly. Our meals were delicious & no shortage of drinks being offered. The seats were economy seats with the middle row blocked off and some recline. We arrived into Stockholm a little early through a snow shower which was a nice welcome back to Stockholm. Bags (checked in at JFK) were delivered safely within 20 mins of arriving.", 21st December 2023,T Maddern ,Australia,10,"AircraftA329
Type Of TravellerFamily Leisure
Seat TypeBusiness Class
RouteLondon Heathrow to Stockholm
Date FlownDecember 2023",y
